Product,Amount,Boxes
Caramel Stuffed Bars,2660,89
Almond Choco,1386,82
Milk Bars,11060,382
Choco Coated Almonds,2919,172
99% Dark & Pure,8680,457
Spicy Special Slims,1484,71
Choco Coated Almonds,16919,996
After Nines,13188,440
Raspberry Choco,4998,294
85% Dark Bars,6146,342
Milk Bars,5621,217
Mint Chip Choco,980,47
Almond Choco,7343,350
Caramel Stuffed Bars,1750,63
Eclairs,2464,165
Milk Bars,1974,86
70% Dark Bites,11823,986
85% Dark Bars,7350,335
Baker's Choco Chips,4165,417
85% Dark Bars,630,28
Baker's Choco Chips,2282,143
Fruit & Nut Bars,5250,292
Almond Choco,11676,730
Caramel Stuffed Bars,14917,533
Manuka Honey Choco,4634,155
Manuka Honey Choco,819,27
Drinking Coco,2422,106
Manuka Honey Choco,1463,59
Manuka Honey Choco,1050,32
Peanut Butter Cubes,1526,85
50% Dark Bites,427,27
Spicy Special Slims,10976,440
Mint Chip Choco,6503,407
99% Dark & Pure,21,1
Eclairs,7063,393
Peanut Butter Cubes,3990,200
70% Dark Bites,1806,129
White Choc,10136,597
Almond Choco,1288,62
White Choc,1295,87
70% Dark Bites,6461,718
Manuka Honey Choco,4949,155
Fruit & Nut Bars,5432,302
Caramel Stuffed Bars,7112,246
Peanut Butter Cubes,266,11
50% Dark Bites,6202,414
After Nines,1057,43
Drinking Coco,1925,67
85% Dark Bars,1841,77
Spicy Special Slims,1204,61
85% Dark Bars,4074,186
Manuka Honey Choco,4473,150
Baker's Choco Chips,2947,246
Organic Choco Syrup,15386,642
Milk Bars,4690,188
White Choc,343,39
Mint Chip Choco,3052,146
Manuka Honey Choco,686,25
White Choc,6993,538
Milk Bars,5236,169
Spicy Special Slims,8638,333
Manuka Honey Choco,5712,191
Mint Chip Choco,6258,330
70% Dark Bites,3234,294
Organic Choco Syrup,17577,677
Eclairs,12684,668
99% Dark & Pure,1239,54
50% Dark Bites,3402,243
Choco Coated Almonds,11382,633
Milk Bars,7133,265
Milk Bars,8309,333
Fruit & Nut Bars,1435,131
Eclairs,3227,216
Drinking Coco,133,6
99% Dark & Pure,5446,273
99% Dark & Pure,4424,261
Milk Bars,1827,80
Manuka Honey Choco,8232,305
50% Dark Bites,861,62
70% Dark Bites,8099,675
Smooth Sliky Salty,5894,281
After Nines,8211,257
After Nines,10360,415
Milk Bars,5145,166
50% Dark Bites,9163,1146
White Choc,15323,1393
Orange Choco,7994,1000
Choco Coated Almonds,6363,455
Peanut Butter Cubes,3262,172
Drinking Coco,2793,127
Organic Choco Syrup,8491,340
Caramel Stuffed Bars,13685,571
White Choc,770,52
50% Dark Bites,8631,1079
Fruit & Nut Bars,4536,267
99% Dark & Pure,14497,605
Choco Coated Almonds,7672,452
99% Dark & Pure,10878,573
50% Dark Bites,12572,1397
50% Dark Bites,1575,105
Manuka Honey Choco,5453,166
Manuka Honey Choco,4802,155
Eclairs,7651,426
Orange Choco,2079,260
Spicy Special Slims,2100,81
Smooth Sliky Salty,5278,406
Spicy Special Slims,4249,164
Mint Chip Choco,3976,210
After Nines,6951,218
Spicy Special Slims,616,25
85% Dark Bars,5439,287
50% Dark Bites,63,7
Baker's Choco Chips,1533,110
70% Dark Bites,3535,322
Spicy Special Slims,2429,111
Raspberry Choco,7119,356
Drinking Coco,3521,118
After Nines,3745,118
White Choc,4816,301
Baker's Choco Chips,1736,193
70% Dark Bites,1099,92
After Nines,6692,231
Baker's Choco Chips,364,31
85% Dark Bars,10927,476
85% Dark Bars,11410,476
Organic Choco Syrup,2443,82
White Choc,329,26
Drinking Coco,3066,128
Baker's Choco Chips,567,38
Smooth Sliky Salty,14721,1052
Choco Coated Almonds,6986,350
85% Dark Bars,14112,784
Smooth Sliky Salty,1771,137
Peanut Butter Cubes,5082,231
Almond Choco,1827,102
Drinking Coco,182,7
Choco Coated Almonds,5369,269
Drinking Coco,6034,275
Mint Chip Choco,13209,881
Caramel Stuffed Bars,847,30
50% Dark Bites,1015,64
50% Dark Bites,16247,2031
Baker's Choco Chips,2422,303
Peanut Butter Cubes,3997,174
Almond Choco,7182,479
Mint Chip Choco,1246,70
Eclairs,553,27
Fruit & Nut Bars,2681,207
Baker's Choco Chips,2800,234
Raspberry Choco,4851,304
Caramel Stuffed Bars,168,6
Fruit & Nut Bars,315,21
Eclairs,11851,741
Drinking Coco,3220,147
70% Dark Bites,11935,1194
Peanut Butter Cubes,12404,478
Fruit & Nut Bars,1519,90
Caramel Stuffed Bars,10934,476
Peanut Butter Cubes,3346,129
Spicy Special Slims,8351,398
White Choc,11718,733
Spicy Special Slims,2681,117
50% Dark Bites,6188,563
99% Dark & Pure,10941,521
Milk Bars,3647,141
Peanut Butter Cubes,2436,122
Caramel Stuffed Bars,896,41
Caramel Stuffed Bars,3808,174
Mint Chip Choco,10920,683
Fruit & Nut Bars,4186,299
85% Dark Bars,6797,309
Spicy Special Slims,4319,155
Smooth Sliky Salty,1673,105
Almond Choco,735,35
After Nines,2632,106
Orange Choco,2030,170
Manuka Honey Choco,1169,47
Mint Chip Choco,3703,206
White Choc,805,54
Smooth Sliky Salty,406,21
Orange Choco,3591,360
White Choc,5551,463
White Choc,3605,258
Almond Choco,6356,374
70% Dark Bites,602,41
White Choc,7042,470
Almond Choco,2968,142
Peanut Butter Cubes,294,17
After Nines,6363,213
Fruit & Nut Bars,280,18
Choco Coated Almonds,406,29
Drinking Coco,4144,139
Milk Bars,5341,173
Fruit & Nut Bars,2947,197
70% Dark Bites,12026,926
Smooth Sliky Salty,3983,307
White Choc,1792,163
Milk Bars,1526,67
Organic Choco Syrup,5313,190
After Nines,7728,242
