SPID,GeoID,PID,SaleDate,Amount,Customers,Boxes,Product,Category,Size,Cost_per_box
SP01,G4,P04,1/1/2021,8414,276,495,Raspberry Choco,Bars,LARGE,4.09
SP02,G3,P14,1/1/2021,532,317,54,White Choc,Other,SMALL,0.16
SP12,G2,P08,1/1/2021,5376,178,269,99% Dark & Pure,Bars,LARGE,2.47
SP01,G4,P15,1/1/2021,259,32,22,Baker's Choco Chips,Bars,SMALL,3.4
SP19,G2,P18,1/1/2021,5530,4,179,Manuka Honey Choco,Other,SMALL,4.75
SP17,G1,P13,1/1/2021,2184,63,122,85% Dark Bars,Bars,SMALL,0.64
SP20,G6,P04,1/1/2021,1057,295,71,Raspberry Choco,Bars,LARGE,4.09
SP14,G5,P16,1/1/2021,1036,370,37,Organic Choco Syrup,Other,SMALL,1.47
SP10,G5,P17,1/1/2021,4039,536,176,Caramel Stuffed Bars,Bars,SMALL,0.54
SP06,G4,P01,1/1/2021,12894,115,478,Milk Bars,Bars,LARGE,1.52
SP18,G2,P01,1/1/2021,4669,121,180,Milk Bars,Bars,LARGE,1.52
SP04,G4,P16,1/1/2021,6377,184,246,Organic Choco Syrup,Other,SMALL,1.47
SP22,G3,P05,1/1/2021,4599,106,256,Mint Chip Choco,Bars,LARGE,1.54
SP22,G2,P09,1/1/2021,2751,228,251,Orange Choco,Bars,LARGE,7.14
SP10,G1,P06,1/1/2021,15596,32,975,Eclairs,Bites,LARGE,2.24
SP06,G1,P11,1/1/2021,8561,111,330,After Nines,Bites,LARGE,4.43
SP25,G6,P05,1/1/2021,14273,335,752,Mint Chip Choco,Bars,LARGE,1.54
SP02,G4,P13,1/1/2021,2506,99,148,85% Dark Bars,Bars,SMALL,0.64
SP19,G3,P10,1/1/2021,2387,134,89,Spicy Special Slims,Bites,LARGE,5.79
SP09,G2,P07,1/1/2021,7553,67,280,Drinking Coco,Other,LARGE,1.62
SP22,G4,P22,1/1/2021,3409,93,171,Peanut Butter Cubes,Bites,SMALL,3.57
SP15,G2,P22,1/1/2021,3878,24,216,Peanut Butter Cubes,Bites,SMALL,3.57
